project#,district,location,latitude,longitude,project_title
15,Stann Creek,Placencia,16.517496,-88.368595,"Empowering women and youth participation in a sustainable seaweed mariculture
industry"
16,Toledo,Bladen,16.48240586,-88.60080555,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Trio,16.51646739,-88.63758804,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,San Jose Succotz,17.08385839,-89.12834739,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Aguacate,16.16185645,-89.0915777,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Big Falls,16.26152455,-88.88558704,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Golden Stream,16.36056649,-88.80064286,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Indian Creek,16.31173251,-88.83553898,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Medina Bank,16.43900774,-88.74467419,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,Silver Creek,16.27950495,-88.89108895,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
16,Toledo,San Miguel,16.29335273,-88.9333747,"Promoting biodiversity conservation through crop zoning and sustainable farming
practices in Belize’s Maya Golden Landscapes"
17,Toledo,Trio,16.51646739,-88.63758804,"Restoring degraded lands within key areas of the Maya Mountain North Forest Reserve
and surrounding buffer zones"
17,Toledo,Bella Vista,16.50859665,-88.53142193,"Restoring degraded lands within key areas of the Maya Mountain North Forest Reserve
and surrounding buffer zones"
18,Toledo,San Jose,16.26615121,-89.09456631,Strengthening community agroforestry through cooperatives for resilient livelihoods
